,LRU Miss Address
0,0xbfb22b18
1,0xbfb22b14
2,0xbfb22b10
3,0xbfb22b0c
4,0x822ce70
5,0xbfb229ac
6,0x822ce2c
7,0x822ce00
8,0xbfb22b28
9,0xbfb22b2c
10,0xbfb22b08
11,0x82272ac
12,0xbfb22b04
13,0xbfb22af0
14,0xbfb22aec
15,0x822d1d8
16,0x8221fec
17,0x822d1dc
18,0x822d1e8
19,0x8221ff0
20,0x822d1ec
21,0x822d1f8
22,0x8221ff8
23,0x822d1fc
24,0x822d208
25,0x8221ff4
26,0x822d20c
27,0x822d3d8
28,0x822a2dc
29,0x822a278
30,0x822d4c0
31,0x822d4c4
32,0x822d4d0
33,0x822d4d4
34,0x822d4e0
35,0x822d4e4
36,0x822d4f0
37,0x822d4f4
38,0x822d288
39,0x822cf0c
40,0x822cf50
41,0x822d9d0
42,0x822d9d4
43,0x822d9e0
44,0x822d9e4
45,0x822d9f0
46,0x822d9f4
47,0xbfb22af8
48,0xbfb22ae4
49,0xbfb22af4
50,0xbfb22ae8
51,0xbfb22ae0
52,0xbfb22adc
53,0xbfb22ad8
54,0xbfb22ad4
55,0xbfb22ad0
56,0xbfb22ac0
57,0xbfb22abc
58,0x822da00
59,0x822da04
60,0x822da0c
61,0x822da10
62,0x822da18
63,0x822da14
64,0x822da08
65,0x822da20
66,0x822da28
67,0x822da2c
68,0x822da30
69,0x822da34
70,0x822da38
71,0x822da3c
72,0x822da40
73,0x822da44
74,0x822da48
75,0x822da4c
76,0x822da50
77,0xbfb22b08
78,0xbfb22b0c
79,0x82297e8
80,0xbfb22b28
81,0xbfb22b2c
82,0xbfb22b18
83,0xbfb22b14
84,0xbfb22b10
85,0x82220ac
86,0x82220a8
87,0xbfb22b04
88,0xbfb22af0
89,0xbfb22aec
90,0x822db48
91,0x8221fec
92,0x822db4c
93,0x822db58
94,0x8221ff0
95,0x822db5c
96,0x822db68
97,0x8221ff8
98,0x822db6c
99,0x822dc58
100,0xbfb229ac
101,0x822dbdc
102,0x822dde8
103,0x822dc20
104,0x822dda4
105,0x822dbb0
106,0x822dfc0
107,0x822dfc4
108,0x822dfd0
109,0x822dfd4
110,0x822e0b8
111,0x822e004
112,0x822a198
113,0x822227c
