,PC,Address,Recency,Frequency
0,0xb7fab420,0xbf88aec4,79.0,53
1,0xb7fab423,0xbf88aec0,77.0,44
2,0xb7fab424,0xbf88aebc,75.0,52
3,0xb7fab425,0xbf88aeb8,73.0,45
4,0xb7fab426,0xbf88aeb4,1.0,897
5,0xb7fab437,0xbf88ae9c,66.0,67
6,0xb7fab43a,0xb7fc3f1c,63.0,2
7,0xb7fab446,0xb7fc46c4,inf,0
8,0xb7fab45c,0xb7fc3e54,inf,0
9,0xb7fab462,0xbf88aea0,60.0,38
10,0xb7fab469,0xbf88aea4,148.0,45
11,0xb7fab470,0xbf88ae38,1.0,38
12,0xb7fab47c,0xbf88ae1c,53.0,155
13,0xb7fbd060,0xbf88ae18,51.0,129
14,0xb7fbd063,0xbf88ae14,49.0,99
15,0xb7fbd068,0xbf88b2b4,103269.0,7
16,0xb7fbd070,0xbf88cb38,103272.0,6
17,0xb7fbd075,0xbf88b2b8,103272.0,6
18,0xb7fbd070,0xbf88cb43,103273.0,6
19,0xb7fbd075,0xbf88b2bc,103273.0,6
20,0xb7fbd070,0xbf88cb53,103274.0,6
21,0xb7fbd075,0xbf88b2c0,103274.0,6
22,0xb7fbd070,0xbf88cb74,103275.0,6
23,0xb7fbd075,0xbf88b2c4,103275.0,6
24,0xb7fbd070,0xbf88cba1,103276.0,6
25,0xb7fbd075,0xbf88b2c8,103276.0,6
26,0xb7fbd070,0xbf88cbb4,103277.0,6
27,0xb7fbd075,0xbf88b2cc,103277.0,6
28,0xb7fbd070,0xbf88cbbd,103278.0,6
29,0xb7fbd086,0xbf88cbbe,178835.0,1
30,0xb7fbd075,0xbf88b2d0,103277.0,6
31,0xb7fbd070,0xbf88ce38,103278.0,6
32,0xb7fbd075,0xbf88b2d4,103278.0,6
33,0xb7fbd070,0xbf88ce4b,103279.0,6
34,0xb7fbd075,0xbf88b2d8,103279.0,6
35,0xb7fbd070,0xbf88cec0,103280.0,6
36,0xb7fbd075,0xbf88b2dc,103280.0,6
37,0xb7fbd070,0xbf88cef2,103281.0,6
38,0xb7fbd075,0xbf88b2e0,103281.0,6
39,0xb7fbd070,0xbf88cefd,103282.0,6
40,0xb7fbd086,0xbf88cefe,178936.0,1
41,0xb7fbd075,0xbf88b2e4,103281.0,6
42,0xb7fbd070,0xbf88cf0e,103282.0,6
43,0xb7fbd075,0xbf88b2e8,103282.0,6
44,0xb7fbd070,0xbf88cf16,103283.0,6
45,0xb7fbd075,0xbf88b2ec,103283.0,6
46,0xb7fbd070,0xbf88cf25,103284.0,6
47,0xb7fbd086,0xbf88cf26,178997.0,1
48,0xb7fbd075,0xbf88b2f0,103283.0,6
49,0xb7fbd070,0xbf88cf31,103284.0,6
50,0xb7fbd086,0xbf88cf32,179018.0,1
51,0xb7fbd075,0xbf88b2f4,103283.0,6
52,0xb7fbd070,0xbf88cf3d,103284.0,6
53,0xb7fbd075,0xbf88b2f8,103284.0,6
54,0xb7fbd070,0xbf88cf71,103285.0,6
55,0xb7fbd086,0xbf88cf72,179059.0,1
56,0xb7fbd075,0xbf88b2fc,103284.0,6
57,0xb7fbd070,0xbf88cf91,103285.0,6
58,0xb7fbd086,0xbf88cf92,179080.0,1
59,0xb7fbd075,0xbf88b300,103284.0,6
60,0xb7fbd070,0xbf88cfb3,103285.0,6
61,0xb7fbd075,0xbf88b304,103285.0,7
62,0xb7fbd081,0xbf88ae14,1039.0,98
63,0xb7fbd084,0xbf88ae18,796.0,128
64,0xb7fbd085,0xbf88ae1c,794.0,154
